"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-01","Canada","2016A000011124","Persons","249","units","0","v1","1","37311904","","","","0"
"2019-04","Canada","2016A000011124","Persons","249","units","0","v1","1","37408205","","","","0"
"2019-07","Canada","2016A000011124","Persons","249","units","0","v1","1","37589262","","","","0"
"2019-10","Canada","2016A000011124","Persons","249","units","0","v1","1","37797496","","","","0"
"2020-01","Canada","2016A000011124","Persons","249","units","0","v1","1","37894799","","","","0"
"2019-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","524053","","","","0"
"2019-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","522818","","","","0"
"2019-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","521542","","","","0"
"2019-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","521922","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","521365","","","","0"
"2019-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","155111","","","","0"
"2019-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","155656","","","","0"
"2019-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","156947","","","","0"
"2019-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","157901","","","","0"
"2020-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","158158","","","","0"
"2019-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","965249","","","","0"
"2019-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","966709","","","","0"
"2019-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","971395","","","","0"
"2019-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","976768","","","","0"
"2020-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","977457","","","","0"
"2019-01","New Brunswick","2016A000213","Persons","249","units","0","v10","5","772790","","","","0"
"2019-04","New Brunswick","2016A000213","Persons","249","units","0","v10","5","773887","","","","0"
"2019-07","New Brunswick","2016A000213","Persons","249","units","0","v10","5","776827","","","","0"
"2019-10","New Brunswick","2016A000213","Persons","249","units","0","v10","5","780021","","","","0"
"2020-01","New Brunswick","2016A000213","Persons","249","units","0","v10","5","779993","","","","0"
"2019-01","Quebec","2016A000224","Persons","249","units","0","v11","6","8429241","","","","0"
"2019-04","Quebec","2016A000224","Persons","249","units","0","v11","6","8447609","","","","0"
"2019-07","Quebec","2016A000224","Persons","249","units","0","v11","6","8484965","","","","0"
"2019-10","Quebec","2016A000224","Persons","249","units","0","v11","6","8522800","","","","0"
"2020-01","Quebec","2016A000224","Persons","249","units","0","v11","6","8537674","","","","0"
"2019-01","Ontario","2016A000235","Persons","249","units","0","v12","7","14441694","","","","0"
"2019-04","Ontario","2016A000235","Persons","249","units","0","v12","7","14484242","","","","0"
"2019-07","Ontario","2016A000235","Persons","249","units","0","v12","7","14566547","","","","0"
"2019-10","Ontario","2016A000235","Persons","249","units","0","v12","7","14659616","","","","0"
"2020-01","Ontario","2016A000235","Persons","249","units","0","v12","7","14711827","","","","0"
"2019-01","Manitoba","2016A000246","Persons","249","units","0","v13","8","1361997","","","","0"
"2019-04","Manitoba","2016A000246","Persons","249","units","0","v13","8","1364400","","","","0"
"2019-07","Manitoba","2016A000246","Persons","249","units","0","v13","8","1369465","","","","0"
"2019-10","Manitoba","2016A000246","Persons","249","units","0","v13","8","1373859","","","","0"
"2020-01","Manitoba","2016A000246","Persons","249","units","0","v13","8","1377517","","","","0"
"2019-01","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1170028","","","","0"
"2019-04","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1171027","","","","0"
"2019-07","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1174462","","","","0"
"2019-10","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1178657","","","","0"
"2020-01","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1181666","","","","0"
"2019-01","Alberta","2016A000248","Persons","249","units","0","v15","10","4335768","","","","0"
"2019-04","Alberta","2016A000248","Persons","249","units","0","v15","10","4350901","","","","0"
"2019-07","Alberta","2016A000248","Persons","249","units","0","v15","10","4371316","","","","0"
"2019-10","Alberta","2016A000248","Persons","249","units","0","v15","10","4395586","","","","0"
"2020-01","Alberta","2016A000248","Persons","249","units","0","v15","10","4413146","","","","0"
"2019-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","5031893","","","","0"
"2019-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","5046780","","","","0"
"2019-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","5071336","","","","0"
"2019-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","5105576","","","","0"
"2020-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","5110917","","","","0"
"2019-01","Yukon","2016A000260","Persons","249","units","0","v4","12","40692","","","","0"
"2019-04","Yukon","2016A000260","Persons","249","units","0","v4","12","40601","","","","0"
"2019-07","Yukon","2016A000260","Persons","249","units","0","v4","12","40854","","","","0"
"2019-10","Yukon","2016A000260","Persons","249","units","0","v4","12","41022","","","","0"
"2020-01","Yukon","2016A000260","Persons","249","units","0","v4","12","41078","","","","0"
"2019-01","Northwest Territories","2016A000261","Persons","249","units","0","v6","14","45047","","","","0"
"2019-04","Northwest Territories","2016A000261","Persons","249","units","0","v6","14","44909","","","","0"
"2019-07","Northwest Territories","2016A000261","Persons","249","units","0","v6","14","44826","","","","0"
"2019-10","Northwest Territories","2016A000261","Persons","249","units","0","v6","14","44895","","","","0"
"2020-01","Northwest Territories","2016A000261","Persons","249","units","0","v6","14","44904","","","","0"
"2019-01","Nunavut","2016A000262","Persons","249","units","0","v7","15","38341","","","","0"
"2019-04","Nunavut","2016A000262","Persons","249","units","0","v7","15","38666","","","","0"
"2019-07","Nunavut","2016A000262","Persons","249","units","0","v7","15","38780","","","","0"
"2019-10","Nunavut","2016A000262","Persons","249","units","0","v7","15","38873","","","","0"
"2020-01","Nunavut","2016A000262","Persons","249","units","0","v7","15","39097","","","","0"


